Condition,Tag,Never on kids,,,Boots Links,Generic Over the counter medication,Brand name Over the counter medication,Generic Prescription name,Brand Prescription name,Selfcare
insect_bite,Can be,,"An insect bite occurs when an insect, such as a mosquito, flea, or spider, punctures the skin to feed or defend itself, often causing redness, swelling, itching.","An insect bite occurs when an insect, such as a mosquito, flea, or spider, punctures the skin to feed or defend itself, often causing redness, swelling, itching, or pain. Most bites are harmless and resolve on their own within a few days. To treat an insect bite, wash the area with soap and water, apply a cold compress to reduce swelling, and use antihistamine creams or oral antihistamines to relieve itching. Over-the-counter pain relievers can help with discomfort. Avoid scratching to prevent infection, and if signs of severe allergic reaction (difficulty breathing, swelling of the face or throat) appear, seek medical help immediately.",https://www.firstderm.com/boots-insect-bite/,"Hydrocortisone 1%, Calamine","Cortizone-10, Caladryl","Antihistamines, Prednisolone (if severe)","Benadryl, Orapred","Avoid scratching, cool compresses"
intertrigo,Can be,,"Intertrigo is an inflammatory skin condition that occurs in warm, moist areas where skin folds rub together, such as under the breasts, armpits, groin, or between abdominal folds.","Intertrigo is an inflammatory skin condition that occurs in warm, moist areas where skin folds rub together, such as under the breasts, armpits, groin, or between abdominal folds. It appears as red, inflamed, sometimes itchy or painful patches and can become secondarily infected by bacteria or fungi. Treatment involves keeping the affected area clean, dry, and well-ventilated. Applying barrier creams, such as zinc oxide or petroleum jelly, can reduce friction, while antifungal or antibacterial creams may be necessary if an infection develops. In persistent cases, a physician may prescribe medicated powders or topical steroids to reduce inflammation.",https://www.firstderm.com/boots-intertrigo/,"Zinc oxide, Clotrimazole","Desitin, Lotrimin","Nystatin, Hydrocortisone","Mycostatin, Locoid","Keep dry, breathable clothing"
keloid,Can be,,"A keloid is a raised, thickened scar that extends beyond the original wound due to excessive collagen production.","A keloid is a raised, thickened scar that extends beyond the original wound due to excessive collagen production. It often appears after injuries, surgeries, burns, or even minor skin trauma like acne or piercings. Keloids can be itchy, painful, or simply a cosmetic concern. Treatment options include corticosteroid injections to reduce inflammation, silicone sheets or gels to flatten the scar, cryotherapy (freezing), laser therapy, or surgical removal—though surgery may risk recurrence. Pressure therapy and radiation are sometimes used for stubborn cases. Since keloids can return, early treatment and prevention (e.g., proper wound care) are key.",https://www.firstderm.com/boots-keloids/,Silicone gel,ScarAway,Triamcinolone (injection),Kenalog,"Massage, pressure dressings"
keratosis_pilaris,Can be,,"Keratosis pilaris is a common, harmless skin condition that causes small, rough bumps on the upper arms, thighs, cheeks, or buttocks.","Keratosis pilaris is a common, harmless skin condition that causes small, rough bumps on the upper arms, thighs, cheeks, or buttocks. It occurs due to the buildup of keratin, which blocks hair follicles, leading to a ""chicken skin"" appearance. While it is not dangerous, it can be persistent. Treatment focuses on moisturizing and exfoliating to smooth the skin. Using lotions with lactic acid, urea, salicylic acid, or glycolic acid can help remove dead skin cells. Regular exfoliation with gentle scrubs and maintaining skin hydration with thick moisturizers can improve texture. Though there is no permanent cure, consistent skincare can significantly reduce its appearance.",https://www.firstderm.com/boots-keratosis-pilaris/,"Urea, Lactic acid, Salicylic acid","AmLactin, CeraVe SA",Tretinoin,Retin-A,"Exfoliation, moisturising"
lentigo,Can be,,"A lentigo is a small, well-defined, pigmented spot on the skin caused by an increase in melanocytes. ","A lentigo is a small, well-defined, pigmented spot on the skin caused by an increase in melanocytes. It can appear as a result of sun exposure (solar lentigo) or due to genetic factors (lentigo simplex). Unlike freckles, lentigines do not fade in winter. Treatment depends on the type and cause but may include topical creams (retinoids, hydroquinone), laser therapy, cryotherapy, or chemical peels to lighten or remove the lesion. Sun protection is crucial to prevent new lesions and stop existing ones from darkening. If a lentigo changes in size, shape, or color, a physician should evaluate it to rule out malignancy.",https://www.firstderm.com/boots-lentigo-solaris/,Sunscreen,"Neutrogena, La Roche-Posay","Hydroquinone, Tretinoin","Tri-Luma, Retin-A",Sun protection
lichen_ruber_planus,Can be,,"Lichen ruber planus (Lichen Planus) is a chronic inflammatory skin condition that affects the skin, mucous membranes, nails, and hair.","Lichen ruber planus (Lichen Planus) is a chronic inflammatory skin condition that affects the skin, mucous membranes, nails, and hair. It presents as itchy, purple, polygonal papules, often on the wrists, ankles, lower back, and oral mucosa. The exact cause is unknown but is believed to be an immune-mediated disorder, sometimes triggered by infections, medications, or autoimmune conditions. Treatment focuses on reducing symptoms and inflammation, typically using topical corticosteroids, antihistamines for itch relief, and, in severe cases, systemic corticosteroids or immunosuppressants like cyclosporine. Phototherapy (PUVA or UVB) can also be helpful. Oral lichen planus may require corticosteroid mouthwashes or immunomodulators. Since it can be chronic and recurrent, long-term follow-up with a physician is recommended.",https://www.firstderm.com/boots-lichen-planus/,"Emollients, Hydrocortisone 1% ","Aveeno, Cortizone-10","Clobetasol, Tacrolimus","Dermovate, Protopic","Avoid triggers, moisturise"
lichen_sclerosus_et_atrophicus,Can be,,Lichen sclerosus et atrophicus (LSA) is a chronic inflammatory skin condition that primarily affects the genital and perianal regions but can appear on other parts of the body. ,"Lichen sclerosus et atrophicus (LSA) is a chronic inflammatory skin condition that primarily affects the genital and perianal regions but can appear on other parts of the body. It is more common in women, particularly postmenopausal, but can also affect men and children. The condition presents as white, thin, wrinkled patches of skin that may cause itching, pain, or discomfort, and in severe cases, lead to scarring and functional impairment. Treatment typically involves high-potency topical corticosteroids (e.g., clobetasol propionate) to reduce inflammation and prevent disease progression. Long-term management may include calcineurin inhibitors (e.g., tacrolimus), moisturizers, and avoidance of irritants. In cases with significant scarring, surgical intervention may be needed, particularly in men with phimosis. Regular follow-up is essential to monitor for complications, including an increased risk of squamous cell carcinoma in affected areas.",https://www.firstderm.com/boots-lichen-sclerosus/,Emollients,"Eucerin, CeraVe",Clobetasol,Dermovate,"Gentle hygiene, avoid irritants"
livedo_reticularis,Never,,"Livedo reticularis is a vascular skin condition characterized by a mottled, lace-like purplish discoloration of the skin, usually on the legs and arms.","Livedo reticularis is a vascular skin condition characterized by a mottled, lace-like purplish discoloration of the skin, usually on the legs and arms. It results from sluggish blood flow in the capillaries, often exacerbated by cold temperatures. It can be benign (physiologic) or associated with underlying conditions such as autoimmune diseases, vasculitis, or blood clotting disorders. Treatment depends on the cause: physiologic livedo reticularis may resolve with warming, while secondary cases require addressing the underlying condition. If caused by autoimmune or vascular disorders, medications like anticoagulants, vasodilators, or immunosuppressants may be needed. A physician or vascular specialist should evaluate persistent cases.",https://www.firstderm.com/boots-livedo-reticularis/,None,None,Treat underlying cause,N/A,"Keep warm, avoid cold"
malignant_melanoma,Can be,,"Malignant melanoma is an aggressive type of skin cancer that originates in the melanocytes, the pigment-producing cells of the skin. ","Malignant melanoma is an aggressive type of skin cancer that originates in the melanocytes, the pigment-producing cells of the skin. It often appears as an irregularly shaped, multicolored mole that may change in size, color, or texture. Early detection is crucial, as melanoma can spread (metastasize) to other organs if left untreated. Treatment typically involves surgical excision of the tumor, sometimes with a wide margin to ensure complete removal. In more advanced cases, treatment may include immunotherapy, targeted therapy, chemotherapy, or radiation therapy. Regular skin checks and sun protection are key to prevention and early intervention. If you suspect melanoma, seek immediate medical attention.",https://www.firstderm.com/boots-malignant-melanoma/,None,None,"Surgical excision, Immunotherapy","Opdivo, Keytruda","Sun protection, mole monitoring"
melasma_cloasma,Never,,"Melasma (Chloasma) is a common skin condition characterized by dark, irregular patches, usually on the face.","Melasma (Chloasma) is a common skin condition characterized by dark, irregular patches, usually on the face, particularly on the cheeks, forehead, nose, and upper lip. It is often triggered by sun exposure, hormonal changes (such as pregnancy or birth control use), and genetic predisposition. Treatment focuses on sun protection with broad-spectrum sunscreen (SPF 30+), topical agents like hydroquinone, retinoids, azelaic acid, and kojic acid, and in some cases, dermatological procedures such as chemical peels, laser therapy, or microneedling. Managing hormonal triggers and avoiding excessive sun exposure are also key to preventing recurrence.",https://www.firstderm.com/boots-melasma/,"Sunscreen, Azelaic acid","EltaMD, Finacea","Hydroquinone, Tretinoin","Tri-Luma, Retin-A","Sun protection, gentle skincare"
milia,Never,,"Milia are small, white or yellowish cysts that form when keratin (a protein in the skin) becomes trapped beneath the surface.","Milia are small, white or yellowish cysts that form when keratin (a protein in the skin) becomes trapped beneath the surface. They commonly appear on the face, especially around the eyes, nose, and cheeks, and are more frequent in newborns but can affect people of all ages. Milia are generally harmless and often resolve on their own. Treatment options include gentle exfoliation, retinoid creams, and chemical peels to promote skin turnover. In persistent cases, a physician can remove them using a sterile needle or laser treatment. Avoid picking or squeezing, as this can lead to irritation or infection.",https://www.firstderm.com/boots-milia-baby-acne/,None,None,Retinoids (if persistent),Retin-A,"Exfoliation, do not squeeze"
miliaria,Can be,,"Miliaria, commonly known as heat rash or prickly heat, occurs when sweat glands become blocked, trapping sweat beneath the skin.","Miliaria, commonly known as heat rash or prickly heat, occurs when sweat glands become blocked, trapping sweat beneath the skin. This leads to small, red, itchy bumps or blisters, often on areas prone to sweating like the neck, chest, back, and folds of the skin. It is common in hot, humid conditions and can affect both children and adults. Treatment focuses on keeping the skin cool and dry, wearing loose, breathable clothing, and avoiding excessive heat or sweating. Mild cases resolve on their own, but calamine lotion, hydrocortisone cream, or antihistamines can help relieve itching and irritation. If the rash worsens or shows signs of infection (pus, swelling, or fever), medical attention is needed.",,"Calamine, Hydrocortisone 1%","Caladryl, Cortizone-10",Mild corticosteroids,Locoid (if severe),"Keep cool/dry, breathable clothing"
molluscum_contagiosum,Can be,,"Molluscum contagiosum is a common, contagious viral skin infection caused by the Molluscum contagiosum virus (MCV).","Molluscum contagiosum is a common, contagious viral skin infection caused by the Molluscum contagiosum virus (MCV), which leads to small, firm, dome-shaped papules with a central dimple. These lesions can appear anywhere on the body, often spreading through direct skin contact, contaminated objects, or sexual contact in adults. While molluscum contagiosum is generally harmless and self-limiting, resolving within 6-12 months, treatment may be considered for cosmetic reasons or to prevent spread. Options include cryotherapy (freezing with liquid nitrogen), curettage (scraping), topical treatments (such as imiquimod, salicylic acid, or cantharidin), and laser therapy. Keeping the skin moisturized, avoiding scratching, and maintaining good hygiene can help prevent further spread. If persistent or widespread, consulting a physician is recommended.",https://www.firstderm.com/boots-molluscum-contagiosum/,None,None,"Cantharidin (in-office), Imiquimod",Aldara,"Avoid sharing towels, hygiene"
neurodermatitis_lichen_simplex_chronicus,Can be,,Neurodermatitis (Lichen Simplex Chronicus) is a chronic skin condition characterized by intense itching and thickened leathery skin,"Neurodermatitis (Lichen Simplex Chronicus) is a chronic skin condition characterized by intense itching and thickened, leathery skin caused by repeated scratching or rubbing. It often develops in response to an initial irritant, stress, or an underlying skin condition such as eczema or psoriasis. Commonly affected areas include the neck, wrists, forearms, and ankles. Treatment focuses on breaking the itch-scratch cycle through topical corticosteroids, antihistamines, and moisturizers to reduce inflammation and itchiness. Behavioral therapy, stress management, and occlusive dressings can help prevent further scratching. In severe cases, calcineurin inhibitors or steroid injections may be prescribed. Identifying and managing triggers is crucial for long-term relief.",https://www.firstderm.com/boots-neurodermatitis/,Hydrocortisone 1%,Cortaid,"Clobetasol, Tacrolimus","Dermovate, Protopic","Avoid scratching, moisturising"
nevus_benign_mole,Can be,,"A nevus (benign mole) is a common, non-cancerous skin growth caused by a cluster of pigmented cells (melanocytes).","A nevus (benign mole) is a common, non-cancerous skin growth caused by a cluster of pigmented cells (melanocytes). These moles can appear anywhere on the body and vary in color, shape, and size. While most benign moles are harmless and do not require treatment, they should be monitored for changes in color, size, shape, or texture, which could indicate malignancy. If removal is desired for cosmetic reasons or due to irritation, treatment options include surgical excision, shave removal, or laser therapy. Always consult a physician if a mole exhibits irregular borders, rapid growth, or other suspicious changes.",https://www.firstderm.com/boots-mole-congenital-nevus/,None,None,Surgical removal if needed,N/A,Monitor for changes
pearly_penile_papules,Only,,"Pearly penile papules (PPP) are small, dome-shaped or filiform bumps that typically appear in rows around the corona of the glans penis.","Pearly penile papules (PPP) are small, dome-shaped or filiform bumps that typically appear in rows around the corona of the glans penis. They are benign, non-contagious, and commonly mistaken for sexually transmitted infections (STIs). PPP occurs naturally in some men and does not require treatment. However, for cosmetic reasons, treatments like carbon dioxide (CO2) laser therapy, cryotherapy (freezing), or electrosurgery can be used to remove them. Since they pose no health risk, medical intervention is optional and should be done by a qualified physician.",https://www.firstderm.com/boots-pearly-penile-papules/,None,None,CO2 laser (if cosmetic),N/A,No treatment needed
perioral_dermatitis,Never,,"Perioral dermatitis is a common inflammatory skin condition that appears as a red, bumpy rash around the mouth, nose, and sometimes the eyes.","Perioral dermatitis is a common inflammatory skin condition that appears as a red, bumpy rash around the mouth, nose, and sometimes the eyes. It often looks like small red papules or pustules on a background of irritated skin. The exact cause is unclear, but it can be triggered by topical steroids, skincare products, hormonal changes, or even certain toothpaste ingredients. Treatment involves discontinuing any topical steroids, switching to gentle skincare products, and sometimes using oral or topical antibiotics like doxycycline or metronidazole. Avoiding heavy creams and fluoridated toothpaste may also help. If symptoms persist, consulting a physician is recommended for tailored treatment.",https://www.firstderm.com/boots-perioral-dermatitis/,Gentle Cleansing,"Cetaphil Gentle Skin Cleanser
La Roche-Posay Toleriane Cleanser","Metronidazole, Erythromycin","Metrogel, Erygel","Avoid steroids, gentle skincare"
petechia_or_purpura,Can be,,"Petechiae and purpura are small, red or purple spots on the skin caused by bleeding under the skin.","Petechiae and purpura are small, red or purple spots on the skin caused by bleeding under the skin. Petechiae are tiny (less than 2 mm), while purpura are larger (3 mm to 1 cm or more). They do not blanch when pressed and can result from various conditions, including infections, blood disorders, trauma, or medication side effects. Treatment depends on the underlying cause. If due to minor trauma, they may resolve on their own. However, if caused by an infection, clotting disorder, or medication reaction, medical attention is required. Serious conditions like meningococcemia or thrombocytopenia need urgent care. If you notice unexplained petechiae or purpura, especially with fever or other symptoms, seek medical help immediately.",https://www.firstderm.com/boots-petechia-or-purpura/,None,None,Treat underlying cause,N/A,Medical evaluation required
phytophoto_dermatitis,Never,,"Phytophotodermatitis is a skin reaction caused by contact with plant compounds (like citrus fruits, celery, or wild parsley) followed by exposure to sunlight.","Phytophotodermatitis is a skin reaction caused by contact with plant compounds (like citrus fruits, celery, or wild parsley) followed by exposure to sunlight. It results in redness, blistering, and hyperpigmentation, often appearing in streaks or drip-like patterns. The reaction is due to furocoumarins in the plants, which make the skin more sensitive to UV rays. Treatment involves washing the affected area thoroughly, avoiding further sun exposure, using cool compresses, and applying topical corticosteroids to reduce inflammation. Hyperpigmentation may take weeks to fade, and using sunscreen can help prevent dark spots from worsening.",,Hydrocortisone 1%,"Cortaid, Cortizone-10","Clobetasol, Prednisolone","Dermovate, Deltasone",Avoid sun after plant exposure
pityriasis_alba,Never,,"Pityriasis alba is a common, benign skin condition primarily affecting children and adolescents, characterized by round or oval, scaly, hypopigmented (lighter than surrounding skin) patches.","Pityriasis alba is a common, benign skin condition primarily affecting children and adolescents, characterized by round or oval, scaly, hypopigmented (lighter than surrounding skin) patches, usually on the face, arms, or upper body. It is thought to be related to mild eczema and often worsens with sun exposure due to contrast between affected and normal skin. While the exact cause is unknown, it is associated with dry skin and may be triggered by environmental factors. Treatment includes moisturizing creams to prevent dryness, mild topical corticosteroids (e.g., hydrocortisone) for inflammation, and sunscreen to minimize contrast with surrounding skin. The condition is self-limiting and typically resolves over time without scarring.",https://www.firstderm.com/boots-pityriasis-alba/,Emollients,"Eucerin, Cetaphil",Mild corticosteroids,Locoid,"Moisturise, sun protection"
pityriasis_rosea,Can be,,"Pityriasis rosea is a common, self-limiting skin condition that typically starts with a single, large, scaly patch called a herald patch, followed by a widespread rash of smaller, pink or salmon-colored lesions.","Pityriasis rosea is a common, self-limiting skin condition that typically starts with a single, large, scaly patch called a herald patch, followed by a widespread rash of smaller, pink or salmon-colored lesions, often arranged in a Christmas tree pattern on the trunk. The exact cause is unknown, but it is suspected to be linked to viral infections, particularly human herpesvirus 6 or 7. The condition usually resolves on its own within 6 to 8 weeks without scarring. Treatment is generally aimed at relieving symptoms, such as itching, which can be managed with antihistamines, topical corticosteroids, or soothing lotions like calamine. In severe cases, UVB phototherapy or oral steroids may be recommended. Staying hydrated, avoiding hot showers, and wearing loose, cotton clothing can also help ease discomfort.",https://www.firstderm.com/boots-pityriasis-rosea/,"Calamine, Antihistamines","Caladryl, Benadryl",Hydrocortisone (topical),Cortizone-10,"Rest, loose clothing"
pityriasis_versicolor,Never,,"Pityriasis versicolor, also known as tinea versicolor, is a common fungal skin infection caused by the yeast Malassezia, which disrupts normal skin pigmentation, leading to discolored patches that may be lighter or darker than the surrounding skin.","Pityriasis versicolor, also known as tinea versicolor, is a common fungal skin infection caused by the yeast Malassezia, which disrupts normal skin pigmentation, leading to discolored patches that may be lighter or darker than the surrounding skin. These patches often appear on the chest, back, neck, and arms and may be scaly or mildly itchy. The condition thrives in warm, humid environments and is more common in individuals with oily skin or those who sweat excessively. Treatment typically involves antifungal creams, shampoos, or lotions containing ketoconazole, selenium sulfide, or clotrimazole. In more severe cases, oral antifungal medications like fluconazole or itraconazole may be prescribed. Even after treatment, discoloration may take weeks to fade, and recurrence is common, requiring maintenance therapy in some cases.",https://www.firstderm.com/boots-pityriasis-versicolor/,"Selenium sulfide, Clotrimazole","Selsun Blue, Lotrimin","Ketoconazole, Fluconazole","Nizoral, Diflucan",Avoid hot/humid environments
postinflammatory_hyperpigmentation,Can be,,"Postinflammatory hyperpigmentation (PIH) is a common skin condition where darkened patches or spots appear after inflammation or injury, such as acne, eczema, burns, or insect bites.","Postinflammatory hyperpigmentation (PIH) is a common skin condition where darkened patches or spots appear after inflammation or injury, such as acne, eczema, burns, or insect bites. It occurs due to excess melanin production in response to skin trauma. PIH is more prevalent in darker skin tones and can persist for weeks to months. Treatment includes topical agents like hydroquinone, retinoids, vitamin C, and azelaic acid to lighten pigmentation. Chemical peels, laser therapy, and microneedling can also help. Sun protection with broad-spectrum SPF is crucial to prevent worsening pigmentation. For stubborn cases, a physician can offer customized treatments.",https://www.firstderm.com/boots-hyperpigmentation/,"Sunscreen, Azelaic acid","EltaMD, Finacea","Hydroquinone, Tretinoin","Tri-Luma, Retin-A","Sun protection, gentle skincare"
prurigo_nodularis,Can be,,"Prurigo nodularis (PN) is a chronic skin condition characterized by intensely itchy, firm, and often hyperpigmented nodules that develop due to repeated scratching. ","Prurigo nodularis (PN) is a chronic skin condition characterized by intensely itchy, firm, and often hyperpigmented nodules that develop due to repeated scratching. The exact cause is unknown, but it is associated with conditions like eczema, psoriasis, diabetes, and autoimmune disorders. Treatment focuses on breaking the itch-scratch cycle and reducing inflammation. This includes topical corticosteroids, antihistamines, capsaicin cream, and calcineurin inhibitors. In severe cases, phototherapy, injectable biologics (e.g., dupilumab), or immunosuppressants may be used. Managing underlying conditions and using moisturizers to maintain skin barrier function are also crucial. physicians may recommend behavioral therapy to help reduce scratching habits.",https://www.firstderm.com/boots-nodular-prurigo/,None,None,"Gabapentin, Clobetasol, Thalidomide (severe)","Neurontin, Dermovate","Avoid scratching, moisturise"
pseudofolliculitis_barbae,Can be,Never,"Pseudofolliculitis barbae (PFB) is a common inflammatory skin condition caused by ingrown hairs, typically affecting individuals with curly or coarse hair, especially in the beard area.","Pseudofolliculitis barbae (PFB) is a common inflammatory skin condition caused by ingrown hairs, typically affecting individuals with curly or coarse hair, especially in the beard area. It occurs when hair curls back into the skin, leading to red, inflamed bumps that may resemble acne. To treat PFB, avoid close shaving and use single-blade razors or electric clippers instead of multi-blade razors. Shave in the direction of hair growth and apply a warm compress before shaving to soften hairs. Exfoliating with gentle scrubs or chemical exfoliants (like glycolic acid) can help prevent ingrown hairs. Topical treatments such as hydrocortisone, benzoyl peroxide, or retinoids may reduce inflammation. In severe cases, laser hair removal or prescription medications like topical antibiotics can be considered.",https://www.firstderm.com/boots-folliculitis/,Benzoyl peroxide,PanOxyl,"Clindamycin, Tretinoin","Cleocin, Retin-A",Stop shaving temporarily
psoriasis,Can be,,"Psoriasis is a chronic autoimmune skin condition that causes rapid skin cell turnover, leading to red, scaly, and often itchy patches, commonly on the elbows, knees, scalp, and lower back. ","Psoriasis is a chronic autoimmune skin condition that causes rapid skin cell turnover, leading to red, scaly, and often itchy patches, commonly on the elbows, knees, scalp, and lower back. It is not contagious and can be triggered by stress, infections, cold weather, or certain medications. Treatment options vary depending on severity and include topical corticosteroids, vitamin D analogs, moisturizers, and phototherapy for mild cases. More severe cases may require systemic treatments such as biologics or immunosuppressants like methotrexate. Lifestyle changes, including stress management and avoiding triggers, can also help manage symptoms. Consulting a physician is essential for a tailored treatment plan.",https://www.firstderm.com/boots-psoriasis/,"Salicylic acid, Coal tar",Neutrogena T/Gel,"Calcipotriol, Methotrexate, Biologics","Dovonex, Enbrel, Stelara","Stress reduction, moisturise"
pyogenic_granuloma,Never,,"Pyogenic granuloma is a benign, rapidly growing skin or mucosal lesion that appears as a red, vascular, and often bleeding nodule.","Pyogenic granuloma is a benign, rapidly growing skin or mucosal lesion that appears as a red, vascular, and often bleeding nodule. It commonly occurs after minor trauma, during pregnancy, or in response to certain medications. While not dangerous, it can be bothersome due to frequent bleeding and cosmetic concerns. Treatment options include cauterization, cryotherapy, laser therapy, or surgical excision, depending on the size and location. Recurrence is possible, so complete removal is often recommended. If a lesion persists or grows rapidly, a biopsy may be needed to rule out malignancy.",https://www.firstderm.com/boots-pyogenic-granuloma/,None,None,"Electrocautery, Surgical excision",N/A (procedural),"Avoid trauma, monitor bleeding"
rosacea,Never,Never,"Rosacea is a chronic skin condition that primarily affects the face, causing redness, visible blood vessels, and sometimes small, pus-filled bumps.","Rosacea is a chronic skin condition that primarily affects the face, causing redness, visible blood vessels, and sometimes small, pus-filled bumps. It often flares up due to triggers such as spicy foods, alcohol, stress, and extreme temperatures. While there is no cure, treatment focuses on managing symptoms. This includes using gentle skincare, avoiding triggers, and applying sunscreen daily. Medical treatments may involve topical creams (like metronidazole or azelaic acid), oral antibiotics, or laser therapy for persistent redness and blood vessels. Consulting a physician can help tailor the best treatment plan for individual cases.",https://www.firstderm.com/boots-rosacea/,"Sulfur wash, Green tea extract","Prosacea, Zenmed","Metronidazole, Ivermectin","Metrogel, Soolantra","Avoid triggers, gentle skincare"
scabies,Can be,,"Scabies is a contagious skin condition caused by the Sarcoptes scabiei mite, which burrows into the skin, leading to intense itching.","Scabies is a contagious skin condition caused by the Sarcoptes scabiei mite, which burrows into the skin, leading to intense itching, especially at night, and a rash with small red bumps or blisters. It spreads through direct skin-to-skin contact or shared personal items. Treatment involves prescription topical medications like permethrin cream or oral ivermectin in severe cases. It's crucial to treat all close contacts and wash clothing, bedding, and towels in hot water to prevent reinfestation. Persistent itching may continue for weeks after treatment, but antihistamines or steroid creams can help relieve symptoms.",https://www.firstderm.com/boots-scabies/,None,None,"Permethrin, Ivermectin","Elimite, Stromectol","Wash bedding/clothes, treat contacts"
scar,Can be,,"A scar is a mark left on the skin after a wound, burn, surgery, or injury has healed. It forms when the body produces collagen to repair damaged tissue. ","A scar is a mark left on the skin after a wound, burn, surgery, or injury has healed. It forms when the body produces collagen to repair damaged tissue. Scars can appear as raised (hypertrophic or keloid), flat, or sunken (atrophic) marks, depending on the injury and individual healing process. Treatment options include silicone sheets or gels, pressure therapy, laser treatments, microneedling, steroid injections, and surgical revision for severe cases. Over-the-counter creams with ingredients like vitamin E or onion extract may help improve appearance, while sunscreen prevents darkening. Always consult a physician for the best treatment plan.",https://www.firstderm.com/boots-acne-scars/,Silicone gel,ScarAway,"Tretinoin, Corticosteroid injections","Retin-A, Kenalog","Massage, sun protection"
scarlet_fever,Never,,"Scarlet fever is a bacterial infection caused by Streptococcus pyogenes (Group A Streptococcus), commonly affecting children.","Scarlet fever is a bacterial infection caused by Streptococcus pyogenes (Group A Streptococcus), commonly affecting children. It typically presents with a sore throat, high fever, a bright red rash with a sandpaper-like texture, and a ""strawberry"" tongue. The rash usually starts on the neck and chest before spreading to other parts of the body. Treatment involves a full course of antibiotics, usually penicillin or amoxicillin, to prevent complications such as rheumatic fever. Supportive care, including fever reducers (e.g., acetaminophen), hydration, and rest, can help manage symptoms. Early diagnosis and treatment are essential to prevent serious complications.",,"Paracetamol, Ibuprofen","Tylenol, Advil","Penicillin, Amoxicillin","Pen-VK, Amoxil","Hydration, rest"
sebaceous_glands_fordyce_spots,Can be,,"Sebaceous Glands & Fordyce Spots: Fordyce spots are small, painless, yellowish or white bumps that appear on the lips, cheeks, or genital areas.","Sebaceous Glands & Fordyce Spots: Fordyce spots are small, painless, yellowish or white bumps that appear on the lips, cheeks, or genital areas. They are ectopic sebaceous glands, meaning they are oil glands that appear in unusual locations without hair follicles. These spots are harmless and non-contagious, typically requiring no treatment. However, for cosmetic concerns, treatments like laser therapy (CO2 or pulsed-dye lasers), micro-punch surgery, or topical retinoids (e.g., tretinoin) may help reduce their appearance. Always consult a physician before attempting any treatment.",https://www.firstderm.com/boots-fordyce-spots/,None,None,"Laser (cosmetic), Tretinoin",Retin-A,No treatment needed
seborrhoeic_dermatitis,Can be,,"Seborrhoeic dermatitis is a common, chronic skin condition that causes red, scaly, and itchy patches.","Seborrhoeic dermatitis is a common, chronic skin condition that causes red, scaly, and itchy patches, often affecting the scalp, face, and other oily areas of the body. It is linked to an overgrowth of Malassezia yeast and an abnormal immune response, often worsened by stress, cold weather, and hormonal changes. Treatment includes medicated shampoos containing ketoconazole, selenium sulfide, or zinc pyrithione for scalp involvement. For facial and body areas, antifungal creams, mild corticosteroids, and calcineurin inhibitors (like tacrolimus or pimecrolimus) can help reduce inflammation. Regular moisturizing and gentle cleansing can also aid in symptom control. If persistent, a physician should be consulted for stronger treatments.",https://www.firstderm.com/boots-seborrhoeic-dermatitis/,"Ketoconazole, Selenium sulfide","Nizoral, Selsun Blue","Ciclopirox, Hydrocortisone","Loprox, Cortizone-10 Rx","Regular washing, reduce stress"
seborrhoeic_keratosis,Can be,Never,"Seborrhoeic keratosis is a common, benign skin growth that appears as a waxy, scaly, or wart-like lesion, typically in shades of brown, black, or tan.","Seborrhoeic keratosis is a common, benign skin growth that appears as a waxy, scaly, or wart-like lesion, typically in shades of brown, black, or tan. It often develops in older adults and is caused by a buildup of skin cells, though its exact cause is unknown. These growths are harmless but may become bothersome due to irritation, itching, or cosmetic concerns. Treatment is usually not necessary, but if removal is desired, options include cryotherapy (freezing with liquid nitrogen), curettage (scraping off the lesion), laser therapy, or electrocautery (burning off with electrical current). Always consult a physician to confirm the diagnosis and discuss the best treatment approach.",https://www.firstderm.com/boots-seborrheic-keratosis/,None,None,Cryotherapy (in-office),N/A,"Monitoring, avoid scratching"
skin_tag,Can be,,"A skin tag is a small, soft, benign growth that commonly appears in areas where the skin folds, such as the neck, armpits, eyelids, groin, and under the breasts. ","A skin tag is a small, soft, benign growth that commonly appears in areas where the skin folds, such as the neck, armpits, eyelids, groin, and under the breasts. They are made of collagen fibers and blood vessels surrounded by skin and are usually painless unless irritated. While skin tags are harmless, some people choose to remove them for cosmetic reasons or if they become bothersome. Treatment options include cutting (excision) with sterile scissors, freezing (cryotherapy) using liquid nitrogen, or burning (cauterization). Over-the-counter removal kits are available, but professional removal by a physician is safest to avoid infection or scarring.",,None,None,"Cryotherapy, surgical removal",N/A,"Avoid friction, observe"
